|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
| Experiment ID | Model          | Method           | Set Type  | Relax Factor | Both Exist | n2v Success | NNV Success | Max LB Diff | Max UB Diff | Bounds Equiv | Robustness Match | Num Sets Match | n2v Time | NNV Time | n2v Looser LB | n2v Looser UB |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             1 | fc_mnist       | exact            | star      |              | True       | True        | True        | 2.46e-06    | 2.40e-06    | False        | True             | True           |   0.5526 |   1.2946 |             1 |             2 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             2 | fc_mnist       | approx           | star      |              | True       | True        | True        | 2.10e-03    | 1.35e-03    | False        | True             | True           |   0.0163 |   0.2172 |             8 |             8 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             3 | fc_mnist       | relax-star-area  | star      |         0.25 | True       | True        | True        | 2.03e-06    | 1.99e-06    | False        | True             | True           |   0.1792 |   0.1553 |             2 |             3 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             4 | fc_mnist       | relax-star-area  | star      |          0.5 | True       | True        | True        | 2.03e-06    | 1.98e-06    | False        | True             | True           |   0.0833 |   0.1241 |             2 |             3 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             5 | fc_mnist       | relax-star-area  | star      |         0.75 | True       | True        | True        | 6.23e-04    | 4.69e-04    | False        | True             | True           |   0.0239 |   0.1132 |             5 |             7 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             6 | fc_mnist       | relax-star-range | star      |         0.25 | True       | True        | True        | 2.03e-06    | 1.99e-06    | False        | True             | True           |   0.1906 |   0.1380 |             2 |             3 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             7 | fc_mnist       | relax-star-range | star      |          0.5 | True       | True        | True        | 2.06e-06    | 1.99e-06    | False        | True             | True           |   0.0882 |   0.0786 |             2 |             3 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
|             8 | fc_mnist       | relax-star-range | star      |         0.75 | True       | True        | True        | 2.10e-03    | 1.18e-03    | False        | True             | True           |   0.0263 |   0.0674 |             6 |             6 |
|---------------|----------------|------------------|-----------|--------------|------------|-------------|-------------|-------------|-------------|--------------|------------------|----------------|----------|----------|---------------|---------------|
